sensor_id,tipo_elem,osm_node,snap_dist_m,lat_sensor,lon_sensor,lat_nodo,lon_nodo,calidad
5528,URB,268514297,2.9,40.467657,-3.684499,40.467683,-3.684498,bueno
5529,URB,102222859,8.5,40.467792,-3.678952,40.467868,-3.678947,bueno
5530,URB,12106180230,26.6,40.466681,-3.67916,40.466919,-3.679129,bueno
5531,URB,102294572,5.7,40.468856,-3.677149,40.468805,-3.677151,bueno
5532,URB,2637062297,27.4,40.468352,-3.673781,40.468543,-3.673577,bueno
5533,URB,3605444570,20.9,40.465993,-3.675242,40.465833,-3.675371,bueno
5534,URB,102364267,3.3,40.467145,-3.672371,40.467117,-3.672357,bueno
5535,URB,31322834,27.8,40.467292,-3.679077,40.467537,-3.679011,bueno
5536,URB,102224463,30.1,40.465589,-3.679433,40.46532,-3.679483,bueno
5537,URB,102224467,37.2,40.462486,-3.68023,40.462165,-3.680354,bueno
5538,URB,102224463,26.5,40.465551,-3.679402,40.46532,-3.679483,bueno
5539,URB,102283415,58.2,40.463738,-3.680557,40.463625,-3.681228,aceptable
5540,URB,13078794552,69.9,40.46651,-3.674983,40.467054,-3.674569,aceptable
5541,URB,102498161,22.1,40.464961,-3.675688,40.465147,-3.675594,bueno
5542,URB,102375910,59.2,40.46334,-3.676033,40.46332,-3.676732,aceptable
5543,URB,102375920,15.5,40.461451,-3.676414,40.461583,-3.676354,bueno
5544,URB,60671762,27.5,40.459904,-3.676691,40.460146,-3.676626,bueno
5545,URB,98963432,47.3,40.458596,-3.681084,40.458656,-3.680531,bueno
5546,URB,1506821327,64.1,40.456547,-3.677099,40.45712,-3.677015,aceptable
5547,URB,98989165,114.4,40.45268,-3.677416,40.451657,-3.67757,aceptable
5548,URB,1506821254,65.5,40.455913,-3.677044,40.455347,-3.677261,aceptable
5549,URB,29803007,40.6,40.45748,-3.676868,40.457115,-3.676905,bueno
5551,URB,60671665,29.5,40.46079,-3.676447,40.460542,-3.676567,bueno
5552,URB,60671220,58.5,40.462577,-3.676104,40.462063,-3.676253,aceptable
5553,URB,60671219,37.3,40.464303,-3.675743,40.463978,-3.675851,bueno
5554,URB,102222352,68.1,40.467874,-3.67398,40.467338,-3.674371,aceptable
5555,URB,102286635,3.2,40.465562,-3.676524,40.465585,-3.676547,bueno
5556,URB,60671220,69.7,40.461967,-3.675439,40.462063,-3.676253,aceptable
5557,URB,102517319,3.4,40.460313,-3.677658,40.460336,-3.677632,bueno
5558,URB,102509276,21.2,40.460381,-3.675096,40.460361,-3.675346,bueno
5561,URB,119807565,10.7,40.457118,-3.677816,40.457158,-3.677931,bueno
5562,URB,119838821,44.1,40.454336,-3.678276,40.454088,-3.678683,bueno
5563,URB,119806748,8.9,40.455229,-3.676198,40.455214,-3.676094,bueno
5564,URB,102384339,30.0,40.460331,-3.679501,40.460295,-3.679853,bueno
5565,URB,98977907,35.5,40.462356,-3.684371,40.462586,-3.684661,bueno
5566,URB,102285060,57.9,40.46436,-3.685441,40.463852,-3.685291,aceptable
5567,URB,102385604,2.0,40.46091,-3.682025,40.460928,-3.682026,bueno
5568,URB,102224468,45.0,40.461413,-3.680579,40.461806,-3.680452,bueno
5569,URB,102387113,7.2,40.45919,-3.681522,40.459144,-3.681581,bueno
5570,URB,98973957,65.2,40.461607,-3.685245,40.462193,-3.685221,aceptable
5571,URB,102387112,13.8,40.459472,-3.681397,40.459571,-3.681299,bueno
5572,URB,98999482,49.6,40.457298,-3.681294,40.456911,-3.681002,bueno
